url,country,page_type,score
https://www.lg.com/au/about-lg/press-and-media/2025-lg-qned-evo-transforms-with-core-oled-tv-innovations/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-announces-winners-of-2024-webos-hackathon/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-australia-launches-2026-tv---sound-suite-lineup/,Australia,뉴스룸/Press,77
https://www.lg.com/au/about-lg/press-and-media/lg-calls-for-developers-to-participate-in-lg-webos-hackathon-2024/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-and-sky-news-australia-partner-to-launch-fast-tv-offering-sky-news-now/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-brings-big-entertainment-home-with-launch-of-2024-tv-range/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-elevates-webos-gaming-experience-with-lg-magic-remote-optimized-games/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-launches-2025-qned-evo--new-premium-lcd-tvs-with-enhanced-visuals-and-ai-personalisation/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/lg-micro-rgb-evo--lg-s-most-advanced-lcd-tv-powered-by-the-preci/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-australia-announces-local-availability-of-2024-ultrageartm-oled-monitor-range/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-introduces-2026-lg-gram-lineup-elevated-by-aeromi/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-gram-ready-to-define-the-next-gen-ai-laptop-with-new-intel--c/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-redefines-portability-and-performance-with-2025-ai-gram-laptop/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-worlds-first-bendable-5k2k-gaming-monitor/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/new-lg-smart-monitor-swing-boosts-productivity-with-flexible-stand-and-touchscreen/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/northern-rivers-startup-owls-eat-rats-named-winner-of-taronga-2025-hatch-accelerator-program/,Australia,뉴스룸/Press,81
https://www.lg.com/au/lifesgood/product-story-gram/,Australia,뉴스룸/Press,64
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-announces-local-availability-of-2024-sound-bar-range0/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-unveils-latest-audio-products-in-collaboration-with-music-visionary-will-i-am/,Australia,뉴스룸/Press,81
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-australia-unveils-latest-portable-audio-lineup-boasting-powerful-performance-and-durability/,Australia,뉴스룸/Press,77
https://www.lg.com/au/about-lg/press-and-media/lg-electronics-expands-xboom-by-will-i-am-lineup-for-every-lifes/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-introduces-stanbyme-speaker-to-global-market-for-more-personalsied-entertainment-experience/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-sound-suite--the-world-s-first-soundbar-audio-system-powered-/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-reveals-expanded-washer-lineup-with-new-category-for-enhanced-capacity-at-ifa-2024/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-s-new-washing-machines-go-big-on-laundry-not-on-space/,Australia,뉴스룸/Press,71
https://www.lg.com/au/about-lg/press-and-media/lg-unveils-ai-driven-energy-efficient-laundry-solutions-at-ifa-2/,Australia,뉴스룸/Press,77
https://www.lg.com/au/discover/discover-washer-dryers/,Australia,뉴스룸/Press,73
https://www.lg.com/au/about-lg/press-and-media/lg-extends-instaview-technology-to-bottom-mount-fridge-range/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-introduces-essence-matte-white-colourway-to-french-door-fridge-range/,Australia,뉴스룸/Press,74
https://www.lg.com/au/about-lg/press-and-media/lg-introduces-slim-french-door-fridge-range-with-focus-on-space-efficiency/,Australia,뉴스룸/Press,74
